2026-09-03 21:23:22,476 | INFO | attendance | Application started.
2026-09-03 21:29:43,958 | INFO | attendance | Application started.
2026-09-03 21:50:46,485 | INFO | attendance | Application started.
2026-09-03 22:09:25,093 | INFO | attendance | Application started.
2026-09-03 22:24:39,863 | INFO | attendance | Application started.
2026-09-04 18:51:42,593 | INFO | attendance | Application started.
2026-09-04 18:58:14,462 | INFO | attendance | Application started.
2026-09-04 19:05:23,546 | INFO | attendance | Application started successfully.
2026-09-04 19:05:23,547 | INFO | attendance | Server running at http://0.0.0.0:8000
2026-09-04 19:08:48,506 | INFO | attendance | Application started successfully.
2026-09-04 19:08:48,506 | INFO | attendance | Server running at http://0.0.0.0:8000
2026-09-04 19:13:58,146 | INFO | attendance | Application started successfully.
2026-09-04 19:13:58,147 | INFO | attendance | Server running at http://0.0.0.0:8000
2026-09-04 19:13:58,187 | INFO | attendance | Startup: starting active cameras...
2026-09-04 19:13:58,190 | INFO | attendance | CameraService: started 0 cameras
2026-09-04 19:20:37,235 | INFO | attendance | Shutdown: stopping all cameras...
2026-09-04 19:20:37,236 | INFO | attendance | CameraService: stopped all cameras
2026-09-04 19:20:39,652 | INFO | attendance | Application started successfully.
2026-09-04 19:20:39,652 | INFO | attendance | Server running at http://0.0.0.0:8000
2026-09-04 19:20:39,687 | INFO | attendance | Startup: starting active cameras...
2026-09-04 19:20:39,690 | INFO | attendance | Camera loop started for '1'
2026-09-04 19:20:39,742 | INFO | attendance | CameraService: started 1 cameras
2026-09-04 19:20:39,787 | INFO | attendance | Camera '1' (id=1): connecting to 0
2026-09-04 19:20:40,720 | INFO | attendance | Camera '1': connected successfully
2026-09-04 19:21:55,185 | INFO | attendance | Shutdown: stopping all cameras...
2026-09-04 19:21:55,665 | INFO | attendance | Camera '1': disconnected
2026-09-04 19:21:55,665 | INFO | attendance | CameraService: stopped all cameras
2026-09-04 19:21:55,666 | INFO | attendance | Camera '1': disconnected
2026-09-04 19:21:55,667 | INFO | attendance | Camera loop stopped for '1'
2026-09-04 19:29:08,375 | INFO | attendance | Application started successfully.
2026-09-04 19:29:08,375 | INFO | attendance | Server running at http://0.0.0.0:8000
2026-09-04 19:29:08,408 | INFO | attendance | Startup: starting active cameras...
2026-09-04 19:29:08,411 | INFO | attendance | Camera loop started for '1'
2026-09-04 19:29:08,462 | INFO | attendance | CameraService: started 1 cameras
2026-09-04 19:29:08,507 | INFO | attendance | Camera '1' (id=1): connecting to 0
2026-09-04 19:29:09,275 | INFO | attendance | Camera '1': connected successfully
2026-09-04 19:32:21,102 | INFO | attendance | Shutdown: stopping all cameras...
2026-09-04 19:32:21,568 | INFO | attendance | Camera '1': disconnected
2026-09-04 19:32:21,568 | INFO | attendance | CameraService: stopped all cameras
2026-09-04 19:32:21,568 | INFO | attendance | Camera '1': disconnected
2026-09-04 19:32:21,569 | INFO | attendance | Camera loop stopped for '1'
2026-09-04 23:14:44,484 | WARNING | attendance | OpenCV DNN failed: module 'cv2.dnn' has no attribute 'readNetFromCaffe'
2026-09-04 23:14:44,486 | WARNING | attendance | FaceDetector: using skin-color detection fallback (less accurate, no model required)
2026-09-04 23:14:44,486 | INFO | attendance | FaceDetector initialized with skin-color detection
2026-09-04 23:14:44,486 | WARNING | attendance | FaceEngine: cv2.face not available, falling back to simple distance mode
2026-09-04 23:14:44,489 | INFO | attendance | Application started successfully.
2026-09-04 23:14:44,490 | INFO | attendance | Face engine mode: simple
2026-09-04 23:14:44,750 | INFO | attendance | Startup: starting active cameras...
2026-09-04 23:14:44,762 | INFO | attendance | Camera loop started for '1'
2026-09-04 23:14:44,814 | INFO | attendance | CameraService: started 1 cameras
2026-09-04 23:14:44,815 | INFO | attendance | Startup: building face gallery...
2026-09-04 23:14:44,816 | INFO | attendance | EmployeeService: rebuilding face gallery...
2026-09-04 23:14:44,816 | INFO | attendance | FaceGallery: loaded 0 employees with faces
2026-09-04 23:14:44,817 | INFO | attendance | FaceEngine: gallery is empty, nothing to train
2026-09-04 23:14:44,817 | INFO | attendance | EmployeeService: gallery rebuild complete
2026-09-04 23:14:44,859 | INFO | attendance | Camera '1' (id=1): connecting to 0
2026-09-04 23:14:46,205 | INFO | attendance | Camera '1': connected successfully
2026-09-04 23:16:22,587 | INFO | attendance | Shutdown: stopping all cameras...
2026-09-04 23:16:23,070 | INFO | attendance | Camera '1': disconnected
2026-09-04 23:16:23,071 | INFO | attendance | CameraService: stopped all cameras
2026-09-04 23:16:23,071 | INFO | attendance | Camera '1': disconnected
2026-09-04 23:16:23,073 | INFO | attendance | Camera loop stopped for '1'
2026-09-05 00:04:04,713 | WARNING | attendance | OpenCV DNN failed: module 'cv2.dnn' has no attribute 'readNetFromCaffe'
2026-09-05 00:04:04,714 | WARNING | attendance | FaceDetector: using skin-color detection fallback (less accurate, no model required)
2026-09-05 00:04:04,714 | INFO | attendance | FaceDetector initialized with skin-color detection
2026-09-05 00:04:04,715 | WARNING | attendance | FaceEngine: cv2.face not available, falling back to simple distance mode
2026-09-05 00:04:04,718 | INFO | attendance | Application started successfully.
2026-09-05 00:04:04,718 | INFO | attendance | Face engine mode: simple
2026-09-05 00:04:05,052 | INFO | attendance | Startup: starting active cameras...
2026-09-05 00:04:05,082 | INFO | attendance | Camera loop started for '1'
2026-09-05 00:04:05,199 | INFO | attendance | CameraService: started 1 cameras
2026-09-05 00:04:05,200 | INFO | attendance | Startup: building face gallery...
2026-09-05 00:04:05,200 | INFO | attendance | EmployeeService: rebuilding face gallery...
2026-09-05 00:04:05,201 | INFO | attendance | FaceGallery: loaded 0 employees with faces
2026-09-05 00:04:05,201 | INFO | attendance | FaceEngine: gallery is empty, nothing to train
2026-09-05 00:04:05,201 | INFO | attendance | EmployeeService: gallery rebuild complete
2026-09-05 00:04:05,284 | INFO | attendance | Camera '1' (id=1): connecting to 0
2026-09-05 00:04:06,425 | INFO | attendance | Camera '1': connected successfully
2026-09-05 00:08:14,855 | INFO | attendance | Shutdown: stopping all cameras...
2026-09-05 00:08:15,317 | INFO | attendance | Camera '1': disconnected
2026-09-05 00:08:15,317 | INFO | attendance | CameraService: stopped all cameras
2026-09-05 00:08:15,317 | INFO | attendance | Camera '1': disconnected
2026-09-05 00:08:15,319 | INFO | attendance | Camera loop stopped for '1'
2026-09-05 00:08:19,605 | WARNING | attendance | OpenCV DNN failed: module 'cv2.dnn' has no attribute 'readNetFromCaffe'
2026-09-05 00:08:19,606 | WARNING | attendance | FaceDetector: using skin-color detection fallback (less accurate, no model required)
2026-09-05 00:08:19,607 | INFO | attendance | FaceDetector initialized with skin-color detection
2026-09-05 00:08:19,608 | WARNING | attendance | FaceEngine: cv2.face not available, falling back to simple distance mode
2026-09-05 00:08:19,614 | INFO | attendance | Application started successfully.
2026-09-05 00:08:19,614 | INFO | attendance | Face engine mode: simple
2026-09-05 00:08:19,614 | INFO | attendance | Face detector: skin
2026-09-05 00:08:19,679 | INFO | attendance | Startup: starting active cameras...
2026-09-05 00:08:19,683 | INFO | attendance | Camera loop started for '1'
2026-09-05 00:08:19,789 | INFO | attendance | CameraService: started 1 cameras
2026-09-05 00:08:19,789 | INFO | attendance | Startup: building face gallery...
2026-09-05 00:08:19,789 | INFO | attendance | EmployeeService: rebuilding face gallery...
2026-09-05 00:08:19,789 | INFO | attendance | FaceGallery: loaded 0 employees with faces
2026-09-05 00:08:19,790 | INFO | attendance | FaceEngine: gallery is empty, nothing to train
2026-09-05 00:08:19,790 | INFO | attendance | EmployeeService: gallery rebuild complete
2026-09-05 00:08:19,867 | INFO | attendance | Camera '1' (id=1): connecting to 0
2026-09-05 00:08:20,835 | INFO | attendance | Camera '1': connected successfully
2026-09-05 00:10:16,102 | INFO | attendance | Shutdown: stopping all cameras...
2026-09-05 00:10:16,564 | INFO | attendance | Camera '1': disconnected
2026-09-05 00:10:16,564 | INFO | attendance | CameraService: stopped all cameras
2026-09-05 00:10:16,564 | INFO | attendance | Camera '1': disconnected
2026-09-05 00:10:16,565 | INFO | attendance | Camera loop stopped for '1'
2026-09-05 00:10:29,309 | INFO | attendance | FaceDetector initialized with ONNX Runtime (UltraFace) (model: ultraface-RFB-320.onnx, input: [1, 3, 240, 320])
2026-09-05 00:10:29,310 | WARNING | attendance | FaceEngine: cv2.face not available, falling back to simple distance mode
2026-09-05 00:10:29,311 | INFO | attendance | Application started successfully.
2026-09-05 00:10:29,312 | INFO | attendance | Face engine mode: simple
2026-09-05 00:10:29,312 | INFO | attendance | Face detector: ultraface
2026-09-05 00:10:29,367 | INFO | attendance | Startup: starting active cameras...
2026-09-05 00:10:29,371 | INFO | attendance | Camera loop started for '1'
2026-09-05 00:10:29,467 | INFO | attendance | CameraService: started 1 cameras
2026-09-05 00:10:29,467 | INFO | attendance | Startup: building face gallery...
2026-09-05 00:10:29,468 | INFO | attendance | EmployeeService: rebuilding face gallery...
2026-09-05 00:10:29,468 | INFO | attendance | FaceGallery: loaded 0 employees with faces
2026-09-05 00:10:29,469 | INFO | attendance | FaceEngine: gallery is empty, nothing to train
2026-09-05 00:10:29,469 | INFO | attendance | EmployeeService: gallery rebuild complete
